order_id,order_date,region,fulfillment_center,category,units,revenue,promised_days,actual_days,defect,returned
1001,2026-01-03,West,FC-PHX,Electronics,1,249.99,2,2,0,0
1002,2026-01-04,West,FC-LAX,Home,3,89.97,2,3,0,0
1003,2026-01-05,South,FC-DFW,Beauty,2,45.50,3,3,0,0
1004,2026-01-07,East,FC-EWR,Books,4,62.00,2,2,0,0
1005,2026-01-08,Midwest,FC-ORD,Electronics,1,399.99,2,4,1,1
1006,2026-01-10,South,FC-ATL,Home,2,120.00,3,2,0,0
1007,2026-01-12,East,FC-EWR,Beauty,5,77.25,2,5,1,0
1008,2026-01-15,West,FC-PHX,Books,2,28.00,2,1,0,0
1009,2026-01-18,Midwest,FC-ORD,Home,1,149.99,3,3,0,0
1010,2026-01-20,South,FC-DFW,Electronics,2,599.98,2,3,0,0
1011,2026-02-02,East,FC-EWR,Home,2,210.00,2,2,0,0
1012,2026-02-04,West,FC-LAX,Electronics,1,199.99,2,3,0,1
1013,2026-02-06,Midwest,FC-ORD,Books,6,84.00,3,4,0,0
1014,2026-02-07,South,FC-ATL,Beauty,3,39.75,3,3,0,0
1015,2026-02-09,East,FC-EWR,Electronics,1,799.99,2,2,0,0
1016,2026-02-11,West,FC-PHX,Home,4,180.00,2,2,0,0
1017,2026-02-14,South,FC-DFW,Books,2,34.00,3,5,1,0
1018,2026-02-16,Midwest,FC-ORD,Beauty,4,58.00,3,3,0,0
1019,2026-02-18,East,FC-EWR,Home,1,95.00,2,4,0,1
1020,2026-02-21,West,FC-LAX,Books,3,42.00,2,2,0,0
1021,2026-03-01,South,FC-ATL,Electronics,1,299.99,3,2,0,0
1022,2026-03-03,West,FC-PHX,Beauty,6,96.00,2,2,0,0
1023,2026-03-05,East,FC-EWR,Books,5,72.50,2,3,0,0
1024,2026-03-08,Midwest,FC-ORD,Home,3,285.00,3,5,1,1
1025,2026-03-10,South,FC-DFW,Beauty,2,31.00,3,3,0,0
1026,2026-03-12,West,FC-LAX,Electronics,1,449.99,2,4,1,0
1027,2026-03-14,East,FC-EWR,Home,2,160.00,2,2,0,0
1028,2026-03-17,Midwest,FC-ORD,Books,7,91.00,3,3,0,0
1029,2026-03-20,South,FC-ATL,Home,1,75.00,3,4,0,0
1030,2026-03-22,West,FC-PHX,Books,2,24.00,2,1,0,0
1031,2026-04-02,East,FC-EWR,Electronics,2,999.98,2,2,0,0
1032,2026-04-04,Midwest,FC-ORD,Beauty,3,51.00,3,4,0,0
1033,2026-04-06,South,FC-DFW,Home,5,325.00,3,3,0,0
1034,2026-04-08,West,FC-LAX,Books,4,56.00,2,3,0,0
1035,2026-04-10,East,FC-EWR,Beauty,2,38.00,2,2,0,0
1036,2026-04-12,Midwest,FC-ORD,Electronics,1,349.99,3,6,1,1
1037,2026-04-15,South,FC-ATL,Books,3,39.00,3,2,0,0
1038,2026-04-18,West,FC-PHX,Home,2,140.00,2,2,0,0
1039,2026-04-20,East,FC-EWR,Home,1,115.00,2,3,0,0
1040,2026-04-23,South,FC-DFW,Electronics,1,529.99,3,4,0,0
